away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points_1h,away_points_2h,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points_1h,home_points_2h,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
28.0,7,5.3,2,93.1,75.0,24,0.5,59,0.424,25,0.203,12,0.583,7,8,200,91.7,25.8,8,22,28,38,66,,11.1,8,0.441,26,0.346,9,50.8,32,0.51,18.9,15,33,0.485,16,0.333,4,"December 18, 2019",50.0,12,6.1,2,91.7,74.2,23,0.472,53,0.453,24,0.453,24,0.708,17,8,200,93.1,25.0,8,9,30,37,67,,9.7,7,0.283,15,0.133,2,49.2,31,0.52,19.1,15,38,0.579,22,0.333,4,"Redbird Arena, Normal, Illinois",ILLINOIS-CHICAGO,UIC,71.6,Home,ILLINOIS-STATE,Illinois State
53.3,16,4.9,2,103.5,67.7,21,0.453,75,0.4,30,0.267,20,0.7,14,8,225,96.5,20.5,9,24,41,31,82,,14.1,12,0.387,29,0.276,8,40.0,30,0.485,9.7,9,46,0.478,22,0.273,3,"December 18, 2019",56.7,17,13.0,6,96.5,79.5,35,0.524,63,0.476,30,0.444,28,0.786,22,8,225,103.5,32.3,10,14,33,39,88,,3.5,3,0.349,22,0.273,6,60.0,45,0.577,21.0,20,41,0.585,24,0.273,3,"Jeff Farris Center, Conway, Arkansas",INCARNATE-WORD,Incarnate Word,75.9,Home,CENTRAL-ARKANSAS,Central Arkansas
40.0,12,4.0,1,87.9,80.8,21,0.598,61,0.492,30,0.18,11,0.727,8,6,200,122.7,38.5,10,15,43,38,81,,9.1,6,0.508,31,0.419,13,59.6,31,0.612,13.2,10,30,0.567,17,0.538,7,"December 18, 2019",30.0,6,6.7,2,122.7,61.5,16,0.489,46,0.435,20,0.348,16,0.813,13,6,200,87.9,19.2,5,15,33,25,58,,6.1,4,0.457,21,0.238,5,40.4,21,0.541,25.3,18,25,0.6,15,0.538,7,"Ross E.Templeton Center, Clinton, South Carolina",PRESBYTERIAN,Presbyterian,66.4,Away,JACKSONVILLE,Jacksonville
35.0,7,2.5,1,113.7,88.9,24,0.339,62,0.323,20,0.065,4,0.5,2,10,200,60.3,26.8,11,12,20,24,44,,6.8,5,0.274,17,0.118,2,51.5,35,0.344,23.0,19,45,0.4,18,0.091,1,"December 18, 2019",44.1,15,4.4,2,60.3,73.2,30,0.611,63,0.54,34,0.111,7,0.857,6,10,200,113.7,11.1,3,15,32,51,83,,11.0,8,0.365,23,0.391,9,48.5,33,0.626,14.3,11,40,0.625,25,0.091,1,"Curb Event Center, Nashville, Tennessee",KENNESAW-STATE,Kennesaw State,73.1,Home,BELMONT,Belmont
28.6,6,5.9,2,111.3,74.2,23,0.411,56,0.375,21,0.536,30,0.7,21,6,200,94.4,31.0,13,30,35,32,67,,8.5,6,0.286,16,0.25,4,49.3,36,0.477,15.8,13,40,0.425,17,0.455,5,"December 18, 2019",66.7,16,12.5,5,94.4,69.0,29,0.542,48,0.5,24,0.854,41,0.659,27,6,200,111.3,25.8,8,28,37,42,79,,8.5,6,0.292,14,0.286,4,50.7,37,0.585,16.4,13,34,0.588,20,0.455,5,"Convocation Center, Jonesboro, Arkansas",LOUISIANA-LAFAYETTE,Louisiana,71.4,Home,ARKANSAS-STATE,Arkansas State
73.9,17,6.7,3,84.8,69.4,25,0.519,54,0.426,23,0.241,13,0.615,8,5,200,97.0,34.4,11,20,30,34,64,,1.5,1,0.519,28,0.357,10,52.9,36,0.532,20.1,15,26,0.5,13,0.545,6,"December 18, 2019",19.0,4,15.4,4,97.0,65.6,21,0.39,59,0.356,21,0.322,19,0.526,10,5,200,84.8,30.6,11,15,25,31,56,,10.6,7,0.237,14,0.286,4,47.1,32,0.412,12.9,10,45,0.378,17,0.545,6,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,65.6,Away,NEW-HAMPSHIRE,New Hampshire
66.7,14,3.1,1,126.1,66.7,18,0.49,51,0.412,21,0.412,21,0.952,20,7,200,101.4,6.5,2,18,30,40,70,,7.2,5,0.471,24,0.333,8,34.5,20,0.574,13.0,9,27,0.481,13,0.222,2,"December 18, 2019",79.3,23,3.7,1,101.4,93.5,29,0.603,58,0.5,29,0.31,18,0.944,17,7,200,126.1,33.3,9,19,43,44,87,,2.9,2,0.448,26,0.462,12,65.5,38,0.654,15.4,12,32,0.531,17,0.222,2,"Reilly Center, St. Bonaventure, New York",NIAGARA,Niagara,68.8,Home,ST-BONAVENTURE,St. Bonaventure
40.0,8,6.7,2,94.6,74.1,20,0.461,51,0.392,20,0.235,12,0.583,7,3,200,96.4,25.0,8,19,30,24,54,,5.4,3,0.431,22,0.318,7,47.5,28,0.476,11.1,7,29,0.448,13,0.75,9,"December 18, 2019",27.8,5,13.8,4,96.4,75.0,24,0.443,44,0.409,18,0.477,21,0.667,14,3,200,94.6,25.9,7,16,33,20,53,,3.6,2,0.318,14,0.214,3,52.5,31,0.491,15.8,10,30,0.5,15,0.75,9,"Roy L. Patrick Gymnasium, Burlington, Vermont",VERMONT,Vermont,56.3,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro
42.3,11,2.6,1,119.5,65.7,23,0.557,53,0.491,26,0.547,29,0.69,20,7,200,102.6,25.8,8,19,34,45,79,,10.4,8,0.472,25,0.28,7,47.0,31,0.592,22.4,19,28,0.679,19,0.222,2,"December 18, 2019",69.0,20,3.6,1,102.6,74.2,23,0.538,65,0.446,29,0.369,24,0.917,22,7,200,119.5,34.3,12,22,43,49,92,,9.1,7,0.415,27,0.444,12,53.0,35,0.602,13.7,12,38,0.447,17,0.222,2,"Johnson Coliseum, Huntsville, Texas",NORTHWESTERN-STATE,Northwestern State,77.1,Home,SAM-HOUSTON-STATE,Sam Houston State
78.9,15,4.2,1,113.8,76.7,23,0.477,44,0.432,19,0.545,24,0.833,20,7,200,95.4,25.0,6,16,35,27,62,,6.2,4,0.409,18,0.222,4,53.7,29,0.56,21.6,15,26,0.577,15,0.417,5,"December 18, 2019",83.3,20,11.5,3,95.4,75.0,18,0.509,58,0.414,24,0.31,18,0.833,15,7,200,113.8,23.3,7,16,43,31,74,,16.9,11,0.586,34,0.324,11,46.3,25,0.556,9.6,7,24,0.542,13,0.417,5,"Carrier Dome, Syracuse, New York",OAKLAND,Oakland,65.5,Home,SYRACUSE,Syracuse
44.8,13,14.8,4,102.6,69.0,20,0.606,52,0.558,29,0.75,39,0.641,25,1,200,115.8,22.6,7,16,41,47,88,,6.6,5,0.346,18,0.278,5,45.0,27,0.624,16.8,14,34,0.706,24,0.9,9,"December 18, 2019",59.3,16,5.9,2,115.8,77.4,24,0.575,60,0.45,27,0.267,16,0.563,9,1,200,102.6,31.0,9,29,34,44,78,,5.3,4,0.55,33,0.455,15,55.0,33,0.577,19.3,16,27,0.444,12,0.9,9,"Toyota Center, Houston, Texas",TEXAS-SAN-ANTONIO,UTSA,76.1,Away,OREGON-STATE,Oregon State
60.0,15,19.2,5,106.5,66.7,18,0.527,56,0.446,25,0.357,20,0.75,15,3,200,119.4,42.4,14,19,29,45,74,,9.7,6,0.357,20,0.45,9,53.3,32,0.565,12.2,9,36,0.444,16,0.786,11,"December 18, 2019",52.4,11,8.3,3,119.4,57.6,19,0.5,48,0.438,21,0.458,22,0.818,18,3,200,106.5,33.3,9,20,35,31,66,,11.3,7,0.458,22,0.273,6,46.7,28,0.565,19.5,14,26,0.577,15,0.786,11,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,62.0,Away,PACIFIC,Pacific
40.0,10,12.1,4,143.4,64.0,16,0.414,70,0.357,25,0.171,12,0.75,9,0,200,88.2,26.2,11,14,27,40,67,,5.3,4,0.457,32,0.25,8,40.3,27,0.443,15.7,14,38,0.447,17,0.0,0,"December 18, 2019",61.0,25,15.8,6,88.2,73.8,31,0.743,68,0.603,41,0.162,11,0.727,8,0,200,143.4,36.0,9,10,56,53,109,,7.9,6,0.515,35,0.543,19,59.7,40,0.744,12.1,10,33,0.667,22,0.0,0,"H&HP Complex, Lake Charles, Louisiana","Paul Quinn
			","Paul Quinn
			",76.5,Home,MCNEESE-STATE,McNeese State
65.2,15,2.6,1,128.3,43.8,14,0.565,54,0.426,23,0.222,12,0.583,7,7,200,113.3,34.5,10,25,42,26,68,,6.7,4,0.593,32,0.469,15,39.3,24,0.57,16.8,12,22,0.364,8,0.3,3,"December 18, 2019",41.7,10,31.8,7,113.3,65.5,19,0.5,52,0.462,24,0.577,30,0.833,25,7,200,128.3,56.3,18,16,38,39,77,,8.3,5,0.269,14,0.286,4,60.7,37,0.581,14.4,11,38,0.526,20,0.3,3,"Humphrey Coliseum, Starkville, Mississippi",RADFORD,Radford,60.5,Home,MISSISSIPPI-STATE,Mississippi State
85.7,12,2.2,1,129.6,50.0,16,0.354,48,0.292,14,0.542,26,0.5,13,0,200,58.0,21.1,8,21,31,16,47,,3.7,3,0.25,12,0.5,6,34.3,24,0.389,32.8,29,36,0.222,8,0.0,0,"December 18, 2019",47.5,19,19.4,7,58.0,78.9,30,0.62,71,0.563,40,0.352,25,0.68,17,0,200,129.6,50.0,16,26,54,51,105,,18.5,15,0.352,25,0.32,8,65.7,46,0.633,13.7,13,46,0.696,32,0.0,0,"Burr Gymnasium, Washington, District of Columbia","Regent
			","Regent
			",80.6,Home,HOWARD,Howard
66.7,14,10.0,3,85.5,85.7,24,0.461,51,0.412,21,0.373,19,0.789,15,1,200,89.9,12.9,4,17,31,31,62,,11.6,8,0.373,19,0.263,5,47.5,28,0.516,16.8,12,32,0.5,16,0.909,10,"December 18, 2019",42.9,9,9.4,3,89.9,87.1,27,0.452,52,0.404,21,0.308,16,0.75,12,1,200,85.5,14.3,4,14,27,32,59,,10.1,7,0.423,22,0.227,5,52.5,31,0.495,19.2,14,30,0.533,16,0.909,10,"Ted Constant Convocation Ctr., Norfolk, Virginia",OLD-DOMINION,Old Dominion,68.8,Away,RICHMOND,Richmond
55.9,19,7.1,3,77.8,76.3,29,0.737,57,0.596,34,0.298,17,0.706,12,2,200,133.3,15.4,4,16,51,45,96,,13.9,10,0.456,26,0.615,16,51.6,33,0.738,12.2,9,31,0.581,18,0.846,11,"December 18, 2019",17.4,4,9.7,3,133.3,84.6,22,0.383,64,0.359,23,0.125,8,0.875,7,2,200,77.8,23.7,9,20,19,37,56,,6.9,5,0.344,22,0.136,3,48.4,31,0.413,18.2,15,42,0.476,20,0.846,11,"Talking Stick Resort Arena, Phoenix, Arizona",ARIZONA-STATE,Arizona State,71.9,Away,SAINT-MARYS-CA,Saint Mary's
36.8,7,7.7,2,94.3,61.9,13,0.448,48,0.396,19,0.354,17,0.765,13,5,200,80.0,37.9,11,21,22,34,56,,22.9,16,0.167,8,0.625,5,48.0,24,0.499,30.2,24,40,0.35,14,0.375,3,"December 18, 2019",56.5,13,25.0,10,80.0,62.1,18,0.616,43,0.535,23,0.442,19,0.684,13,5,200,94.3,38.1,8,17,40,26,66,,17.1,12,0.395,17,0.412,7,52.0,26,0.634,33.6,26,26,0.615,16,0.375,3,"XL Center, Hartford, Connecticut",SAINT-PETERS,St. Peter's,69.6,Home,CONNECTICUT,UConn
53.8,14,8.6,3,111.3,88.0,22,0.535,57,0.456,26,0.544,31,0.742,23,9,200,105.0,36.7,11,24,26,58,84,,10.0,8,0.421,24,0.375,9,60.0,33,0.586,22.1,20,33,0.515,17,0.25,3,"December 18, 2019",75.9,22,15.2,5,105.0,63.3,19,0.625,52,0.558,29,0.615,32,0.75,24,9,200,111.3,12.0,3,28,41,48,89,,8.8,7,0.327,17,0.412,7,40.0,22,0.662,18.5,15,35,0.629,22,0.25,3,"Leavey Center, Santa Clara, California",SAN-JOSE-STATE,San Jose State,80.0,Home,SANTA-CLARA,Santa Clara
40.0,10,3.3,1,106.1,72.0,18,0.537,54,0.463,25,0.389,21,0.714,15,8,200,110.6,20.7,6,22,30,43,73,,4.5,3,0.37,20,0.4,8,44.4,24,0.571,12.5,9,34,0.5,17,0.273,3,"December 18, 2019",42.9,9,5.9,2,110.6,79.3,23,0.479,48,0.438,21,0.583,28,0.857,24,8,200,106.1,28.0,7,18,28,42,70,,3.0,2,0.375,18,0.222,4,55.6,30,0.571,15.4,11,30,0.567,17,0.273,3,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,66.1,Away,SOUTH-CAROLINA-UPSTATE,USC Upstate
50.0,14,3.8,2,108.2,53.1,26,0.516,63,0.444,28,0.222,14,0.571,8,7,225,100.0,29.7,11,18,31,38,73,,6.8,5,0.413,26,0.346,9,43.0,37,0.524,17.8,15,37,0.514,19,0.3,3,"December 18, 2019",66.7,20,5.4,2,100.0,70.3,26,0.441,76,0.395,30,0.263,20,0.6,12,7,225,108.2,46.9,23,12,34,35,79,,12.3,9,0.303,23,0.304,7,57.0,49,0.462,9.6,9,53,0.434,23,0.3,3,"Montagne Center, Beaumont, Texas",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,64.5,Home,LAMAR,Lamar
62.5,15,2.2,1,123.8,48.5,16,0.466,58,0.414,24,0.259,15,0.467,7,9,200,96.8,35.1,13,21,33,28,61,,3.2,2,0.241,14,0.429,6,41.4,29,0.468,15.7,12,44,0.409,18,0.25,3,"December 18, 2019",39.3,11,9.1,4,96.8,64.9,24,0.492,63,0.444,28,0.349,22,0.727,16,9,200,123.8,51.5,17,15,38,40,78,,6.3,4,0.27,17,0.353,6,58.6,41,0.531,7.6,6,46,0.478,22,0.25,3,"CBU Events Center, Riverside, California",SOUTHERN,Southern,63.3,Home,CALIFORNIA-BAPTIST,California Baptist
50.0,14,12.8,5,102.6,81.6,31,0.5,59,0.475,28,0.458,27,0.481,13,5,200,94.7,30.8,12,29,34,38,72,,3.9,3,0.322,19,0.158,3,55.8,43,0.501,18.4,16,40,0.625,25,0.583,7,"December 18, 2019",43.5,10,2.5,1,94.7,69.2,27,0.432,59,0.39,23,0.661,39,0.692,27,5,200,102.6,18.4,7,22,40,38,78,,10.5,8,0.339,20,0.25,5,44.2,34,0.503,7.3,6,39,0.462,18,0.583,7,"Hulman Center, Terre Haute, Indiana",TENNESSEE-STATE,Tennessee State,76.2,Home,INDIANA-STATE,Indiana State
70.6,12,7.1,3,90.1,75.7,28,0.402,51,0.333,17,0.49,25,0.68,17,7,200,81.7,38.7,12,15,41,17,58,,8.5,6,0.431,22,0.318,7,58.8,40,0.461,23.5,19,29,0.345,10,0.364,4,"December 18, 2019",37.5,9,20.7,6,81.7,61.3,19,0.415,65,0.369,24,0.277,18,0.556,10,7,200,90.1,24.3,9,17,27,37,64,,19.7,14,0.354,23,0.261,6,41.2,28,0.435,9.9,8,42,0.429,18,0.364,4,"David Stopher Gymnasium, Thibodaux, Louisiana",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,71.2,Home,NICHOLLS-STATE,Nicholls State
40.9,9,14.7,5,112.3,76.0,19,0.324,74,0.297,22,0.405,30,0.833,25,7,200,90.1,26.0,13,25,35,38,73,,8.6,7,0.338,25,0.16,4,42.7,32,0.414,8.4,8,49,0.367,18,0.3,3,"December 18, 2019",70.4,19,8.2,4,90.1,74.0,37,0.544,57,0.474,27,0.544,31,0.935,29,7,200,112.3,24.0,6,24,41,50,91,,4.9,4,0.404,23,0.348,8,57.3,43,0.634,16.5,14,34,0.559,19,0.3,3,"Lawlor Events Center, Reno, Nevada",TEXAS-SOUTHERN,Texas Southern,81.5,Home,NEVADA,Nevada
57.7,15,2.3,1,104.2,70.0,21,0.588,51,0.51,26,0.451,23,0.696,16,2,225,107.0,27.6,8,19,31,35,76,,1.4,1,0.471,24,0.333,8,49.2,29,0.614,21.8,17,27,0.667,18,0.846,11,"December 18, 2019",32.1,9,3.7,1,107.0,72.4,21,0.508,60,0.467,28,0.3,18,0.722,13,2,225,104.2,30.0,9,25,29,37,74,,11.3,8,0.283,17,0.294,5,50.8,30,0.54,13.9,11,43,0.535,23,0.846,11,"Toyota Center, Houston, Texas",SOUTH-FLORIDA,South Florida,62.9,Away,UTAH-STATE,Utah State
34.8,8,9.7,3,106.3,86.4,19,0.531,49,0.469,23,0.367,18,0.944,17,8,200,109.5,15.4,4,18,31,38,69,,9.5,6,0.306,15,0.4,6,47.9,23,0.599,12.3,8,34,0.5,17,0.385,5,"December 18, 2019",44.0,11,5.9,2,109.5,84.6,22,0.558,52,0.481,25,0.25,13,0.692,9,8,200,106.3,13.6,3,19,26,41,67,,3.2,2,0.404,21,0.381,8,52.1,25,0.576,14.8,10,31,0.548,17,0.385,5,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,63.4,Away,UTAH-VALLEY,Utah Valley
67.7,21,15.0,6,107.5,63.0,17,0.627,59,0.525,31,0.288,17,0.765,13,5,200,129.9,37.9,11,13,39,48,87,,11.9,8,0.492,29,0.414,12,50.0,28,0.649,11.9,9,30,0.633,19,0.583,7,"December 18, 2019",50.0,15,10.0,3,129.9,62.1,18,0.567,60,0.5,30,0.117,7,0.571,4,5,200,107.5,37.0,10,16,42,30,72,,4.5,3,0.333,20,0.4,8,50.0,28,0.568,20.2,16,40,0.55,22,0.583,7,"Millis Center, High Point, North Carolina",HIGH-POINT,High Point,67.2,Away,VALPARAISO,Valparaiso
44.0,11,7.5,3,105.4,89.3,25,0.538,53,0.472,25,0.415,22,0.591,13,4,200,94.6,18.8,6,23,31,39,70,,8.1,6,0.396,21,0.333,7,51.7,31,0.552,19.3,15,32,0.563,18,0.6,6,"December 18, 2019",78.6,22,3.1,1,94.6,81.3,26,0.61,50,0.56,28,0.6,30,0.567,17,4,200,105.4,10.7,3,20,35,43,78,,5.4,4,0.2,10,0.5,5,48.3,29,0.607,18.1,14,40,0.575,23,0.6,6,"Talking Stick Resort Arena, Phoenix, Arizona",VANDERBILT,Vanderbilt,73.9,Home,LOYOLA-IL,Loyola (IL)
48.3,14,16.0,4,104.4,86.7,26,0.516,63,0.46,29,0.222,14,0.786,11,2,200,111.8,32.4,11,18,38,38,76,,11.8,8,0.317,20,0.35,7,57.8,37,0.546,11.5,9,43,0.512,22,0.818,9,"December 18, 2019",41.7,10,4.7,2,111.8,67.6,23,0.598,51,0.471,24,0.275,14,0.714,10,2,200,104.4,13.3,4,17,46,25,71,,8.8,6,0.51,26,0.5,13,42.2,27,0.616,20.8,15,25,0.44,11,0.818,9,"TD Arena, Charleston, South Carolina",COLLEGE-OF-CHARLESTON,College of Charleston,68.2,Away,VIRGINIA-COMMONWEALTH,VCU
52.6,10,12.5,3,102.8,74.3,26,0.388,58,0.328,19,0.379,22,0.682,15,7,200,83.3,20.5,8,26,21,39,60,,8.3,6,0.397,23,0.304,7,45.9,34,0.438,14.0,11,35,0.343,12,0.222,2,"December 18, 2019",65.0,13,8.6,3,83.3,79.5,31,0.462,53,0.377,20,0.679,36,0.694,25,7,200,102.8,25.7,9,17,37,37,74,,8.3,6,0.547,29,0.31,9,54.1,40,0.528,13.8,11,24,0.458,11,0.222,2,"Tom Gola Arena, Philadelphia, Pennsylvania",WAGNER,Wagner,71.8,Home,LA-SALLE,La Salle
59.1,13,8.3,3,102.8,71.4,20,0.426,61,0.361,22,0.164,10,0.9,9,3,200,84.7,16.2,6,18,29,32,61,,11.1,8,0.426,26,0.308,8,40.0,26,0.464,17.6,14,35,0.4,14,0.7,7,"December 18, 2019",65.4,17,20.0,7,84.7,83.8,31,0.566,53,0.491,26,0.321,17,0.824,14,3,200,102.8,28.6,8,13,32,42,74,,12.5,9,0.321,17,0.471,8,60.0,39,0.606,22.9,18,36,0.5,18,0.7,7,"Cintas Center, Cincinnati, Ohio",WESTERN-CAROLINA,Western Carolina,72.4,Home,XAVIER,Xavier
